"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
1991-01-01,NA,0,NA,NA,72,4.1,5.7,2.6,0.8
1991-01-02,NA,7.3,NA,NA,78,7.9,10,2.6,1.3
1991-01-03,NA,9,NA,NA,88,7.4,10.5,6.6,0.8
1991-01-04,NA,2.8,NA,NA,81,6,9,4.3,0.8
1991-01-05,NA,0.6,NA,NA,66,4.4,5.3,3,1.4
1991-01-06,NA,0,NA,NA,58,5.4,7.9,3.4,1.8
1991-01-07,NA,0,NA,NA,77,5.8,8.5,3.9,0.9
1991-01-08,NA,0.1,NA,NA,70,6.9,8.3,3.5,1.3
1991-01-09,NA,0.6,NA,NA,63,8.8,9,7.3,2.2
1991-01-10,NA,3.4,NA,NA,61,10.4,14.3,8.2,2.8
1991-01-11,NA,3,NA,NA,79,7.2,9.2,6.4,1.2
1991-01-12,NA,0,NA,NA,75,4.2,6.6,3.2,0.8
1991-01-13,NA,0,NA,NA,85,0.9,3.9,-0.4,0.3
1991-01-14,NA,0,NA,NA,78,-3,-0.4,-4.4,0.5
1991-01-15,NA,0,NA,NA,81,-5.2,-2.2,-8,0.3
1991-01-16,NA,0,NA,NA,77,-5.3,-1,-8.8,0.4
1991-01-17,NA,0,NA,NA,76,-6.8,-2,-9.8,0.1
1991-01-18,NA,0,NA,NA,82,-6.4,-1.5,-11.9,0.1
1991-01-19,NA,0,NA,NA,83,-4.8,-0.4,-11.5,0.1
1991-01-20,NA,0.4,NA,NA,87,0.2,2.2,-3.8,0.4
1991-01-21,NA,2.3,NA,NA,85,2.7,3.8,-0.6,0.5
1991-01-22,NA,0,NA,NA,93,1.5,2.7,1.2,0.3
1991-01-23,NA,0,NA,NA,93,0.8,1.2,0.4,0.3
1991-01-24,NA,0,NA,NA,78,0.4,0.8,0.4,0.5
1991-01-25,NA,0,NA,NA,88,0.2,0.4,0.2,0.3
1991-01-26,NA,0,NA,NA,88,0.4,0.8,-0.6,0.4
1991-01-27,NA,0,NA,NA,80,0.9,2.7,0.3,0.4
1991-01-28,NA,0,NA,NA,78,-0.6,0.3,-0.8,0.4
1991-01-29,NA,0,NA,NA,82,0.4,1.8,-0.8,0.5
1991-01-30,NA,0,NA,NA,82,-2.7,0.2,-4.6,0.5
1991-01-31,NA,0,NA,NA,69,-7,-3.5,-9.1,0.4
1991-02-01,NA,0,NA,NA,59,-8.6,-3,-12.2,0.6
1991-02-02,NA,0,NA,NA,68,-10.2,-4.4,-13.3,0.4
1991-02-03,NA,0,NA,NA,75,-10.4,-5,-15,0.4
1991-02-04,NA,0.1,NA,NA,78,-7,-3.8,-14.8,0.4
1991-02-05,NA,0.3,NA,NA,79,-6.6,-3.8,-7.4,0.5
1991-02-06,NA,0.4,NA,NA,79,-12.2,-7.4,-15.5,0.4
1991-02-07,NA,1.3,NA,NA,84,-9.4,-8.3,-11.4,0.4
1991-02-08,NA,1.1,NA,NA,89,-6.5,-5.2,-10.5,0.3
1991-02-09,NA,3.1,NA,NA,94,-7.8,-6,-10,0.2
1991-02-10,NA,1.4,NA,NA,86,-3.1,-0.5,-6.8,0.4
1991-02-11,NA,0,NA,NA,70,-6,-1.5,-10,0.6
1991-02-12,NA,0.5,NA,NA,81,-3.3,-1,-6.8,0.5
1991-02-13,NA,1.3,NA,NA,77,-3.6,-2.6,-5.6,0.6
1991-02-14,NA,0.7,NA,NA,76,-6.1,-2.6,-10.7,0.5
1991-02-15,NA,4.3,NA,NA,76,-1.4,0,-4.9,0.8
1991-02-16,NA,0.2,NA,NA,81,-0.8,0,-1.5,0.7
1991-02-17,NA,0,NA,NA,79,-3.7,-0.2,-6,0.6
1991-02-18,NA,0,NA,NA,82,-0.9,1.2,-6,0.5
1991-02-19,NA,0,NA,NA,93,-2.6,-0.4,-7.5,0.3
1991-02-20,NA,0,NA,NA,86,0.8,5.1,-0.8,0.6
1991-02-21,NA,0,NA,NA,97,-4.5,-0.8,-6,0.3
1991-02-22,NA,0.9,NA,NA,74,1.7,5,-6,0.8
1991-02-23,NA,0.1,NA,NA,73,6.7,7.4,1.5,1.4
1991-02-24,NA,0,NA,NA,70,8.6,14.2,6,1.5
1991-02-25,NA,0,NA,NA,83,6.3,11.5,0.6,0.7
1991-02-26,NA,0,NA,NA,92,2.2,6.6,0.8,0.5
1991-02-27,NA,0,NA,NA,85,-1,0.8,-1.6,0.6
1991-02-28,NA,0.1,NA,NA,80,-0.6,3,-4,0.7
1991-03-01,NA,0,NA,NA,83,0.4,4,-1,0.7
1991-03-02,NA,0,NA,NA,81,2.6,4.8,-3.5,0.7
1991-03-03,NA,0,NA,NA,77,4.2,10.8,1.5,1.1
1991-03-04,NA,0,NA,NA,94,0.8,6.2,-2.5,0.6
1991-03-05,NA,0.9,NA,NA,90,5.2,7.8,-0.2,0.6
1991-03-06,NA,1.2,NA,NA,91,6.8,11,5.4,0.7
1991-03-07,NA,0,NA,NA,78,6.6,13,3.4,1.1
1991-03-08,NA,0,NA,NA,80,6.6,14.5,-0.2,1.2
1991-03-09,NA,0.7,NA,NA,82,7.8,10.5,2.7,0.8
1991-03-10,NA,0,NA,NA,80,9.7,13.1,8.3,1
1991-03-11,NA,0,NA,NA,75,9.8,15,2.5,1.2
1991-03-12,NA,0,NA,NA,79,8.7,14.2,5.2,1.3
1991-03-13,NA,0,NA,NA,75,7,15,0,1.3
1991-03-14,NA,0,NA,NA,65,9,17,0.5,1.9
1991-03-15,NA,0.3,NA,NA,82,9.9,13.8,3.2,1.2
1991-03-16,NA,0,NA,NA,79,8.5,16,4.6,1.5
1991-03-17,NA,0,NA,NA,67,10.4,20.1,2.9,2.2
1991-03-18,NA,0,NA,NA,80,9.4,15,7.1,1.4
1991-03-19,NA,5.9,NA,NA,84,9,10.3,5,1.1
1991-03-20,NA,0,NA,NA,72,11.2,15.2,10.1,2.1
1991-03-21,NA,8,NA,NA,82,12.6,17.2,10.1,1.7
1991-03-22,NA,0.2,NA,NA,81,7.6,11.3,6.6,1
1991-03-23,NA,0,NA,NA,84,7.9,10.5,5.5,1
1991-03-24,NA,1.9,NA,NA,87,6.9,9.2,6,1
1991-03-25,NA,0.9,NA,NA,85,5.3,6.1,4.8,1
1991-03-26,NA,0,NA,NA,78,2.1,5,0.2,1.1
1991-03-27,NA,0,NA,NA,68,1.2,8,-1.5,1.8
1991-03-28,NA,0,NA,NA,66,0.9,4.7,-1.8,1.6
1991-03-29,NA,0,NA,NA,69,-0.6,3.5,-4,1.2
1991-03-30,NA,0,NA,NA,65,3,8.5,-2.2,1.4
1991-03-31,NA,0,NA,NA,64,4.6,9,-1,1.5
1991-04-01,NA,4.8,NA,NA,77,8,10,2.8,1.3
1991-04-02,NA,0.8,NA,NA,62,11.2,17.8,8.2,2.7
1991-04-03,NA,0,NA,NA,61,11.1,18.5,6.5,2.9
1991-04-04,NA,0,NA,NA,80,7.2,10,5,1.2
1991-04-05,NA,0,NA,NA,65,8.2,14.2,1,1.8
1991-04-06,NA,0,NA,NA,56,8.8,16.3,4,2.7
1991-04-07,NA,0.7,NA,NA,73,8.3,12.2,3,1.8
1991-04-08,NA,0.5,NA,NA,65,9.6,13.6,7.2,2.4
1991-04-09,NA,0,NA,NA,59,7.7,13,5,2.7
1991-04-10,NA,0,NA,NA,62,7.9,15.8,-0.5,2.5
1991-04-11,NA,0,NA,NA,57,10,18.7,-2,2.9
1991-04-12,NA,0,NA,NA,59,11.6,19.5,1.5,3.2
1991-04-13,NA,0,NA,NA,65,10.1,18.5,1.5,3
1991-04-14,NA,0,NA,NA,62,10.8,18,1.2,2.9
1991-04-15,NA,0,NA,NA,61,11.8,19.6,3,3
1991-04-16,NA,0.2,NA,NA,69,4.2,10.4,1.5,2
1991-04-17,NA,2.1,NA,NA,77,4.7,9.2,1.5,1.7
1991-04-18,NA,0,NA,NA,68,1.1,5.2,-3,1.7
1991-04-19,NA,0.7,NA,NA,74,2,5.2,-3.8,1.5
1991-04-20,NA,1.4,NA,NA,75,1.3,3.9,-0.5,1.5
1991-04-21,NA,0.4,NA,NA,73,0.6,6,-3.5,1.5
1991-04-22,NA,0.2,NA,NA,72,4.9,8,-1.2,1.7
1991-04-23,NA,1.7,NA,NA,81,3.2,7.2,1,1.5
1991-04-24,NA,0.6,NA,NA,79,4.6,8.5,-2.3,1.5
1991-04-25,NA,0,NA,NA,71,5.8,11,-2.8,1.9
1991-04-26,NA,0,NA,NA,82,5.5,9.3,-1,1.2
1991-04-27,NA,0,NA,NA,69,7,13.5,1.2,2.1
1991-04-28,NA,1.4,NA,NA,60,10.6,16.6,-0.5,2.8
1991-04-29,NA,0.5,NA,NA,62,7.8,12.5,5.7,2.2
1991-04-30,NA,13.4,NA,NA,88,6.8,8,2,1
1991-05-01,NA,2.6,NA,NA,88,6,7,5.9,1.1
1991-05-02,NA,0,NA,NA,75,7.1,8.8,3.5,1.6
1991-05-03,NA,0,NA,NA,68,5.6,9.2,4,2.3
1991-05-04,NA,0,NA,NA,69,7.2,10.5,2.5,2.1
1991-05-05,NA,0,NA,NA,65,7.8,13,0.5,2.1
1991-05-06,NA,2.7,NA,NA,66,9.2,14.2,3,2.6
1991-05-07,NA,0.1,NA,NA,79,7,10,5.4,1.4
1991-05-08,NA,0,NA,NA,61,9.6,15.5,1.5,3
1991-05-09,NA,0,NA,NA,71,6.9,10.9,3.5,1.7
1991-05-10,NA,0,NA,NA,68,11.8,18,1,2.9
1991-05-11,NA,5.4,NA,NA,85,11.8,13.1,11,1.6
1991-05-12,NA,0.2,NA,NA,70,10.1,12.5,7,2.1
1991-05-13,NA,0.1,NA,NA,57,13,19.2,4.5,3.7
1991-05-14,NA,2.3,NA,NA,74,8.8,14,7.3,1.9
1991-05-15,NA,1.5,NA,NA,64,7.8,13,4,2.7
1991-05-16,NA,0,NA,NA,66,8,11.2,1,2.3
1991-05-17,NA,6.8,NA,NA,82,7.5,12,7,2
1991-05-18,NA,0,NA,NA,64,9.4,14.8,3,2.9
1991-05-19,NA,0,NA,NA,59,10.7,14.5,2,2.6
1991-05-20,NA,0,NA,NA,56,15.4,18.3,10,3.5
1991-05-21,NA,0,NA,NA,75,15.7,18.6,13.2,3.3
1991-05-22,NA,0,NA,NA,59,13.8,19.6,10.5,4.1
1991-05-23,NA,0,NA,NA,63,7.9,12,6,3
1991-05-24,NA,0.3,NA,NA,58,8.8,12.6,3.2,2.9
1991-05-25,NA,2.2,NA,NA,76,9.5,11.3,6.5,1.7
1991-05-26,NA,0,NA,NA,60,10.8,15.6,7,3.3
1991-05-27,NA,0,NA,NA,68,11.9,15.8,10.1,2.5
1991-05-28,NA,0,NA,NA,67,11.1,15,7,1.9
1991-05-29,NA,0,NA,NA,64,13.9,19.2,5,3.5
1991-05-30,NA,0,NA,NA,58,16.1,21,7.2,4.1
1991-05-31,NA,0,NA,NA,59,17.3,24.1,8.5,4.7
1991-06-01,NA,0,NA,NA,54,11.2,16.8,9.2,4.5
1991-06-02,NA,0,NA,NA,52,12.4,18.4,5.5,4
1991-06-03,NA,0,NA,NA,59,12,19.5,5.4,4
1991-06-04,NA,0,NA,NA,67,8.4,13.2,5,2.9
1991-06-05,NA,0,NA,NA,56,9.6,14,4,3.5
1991-06-06,NA,0,NA,NA,66,12.3,15.5,1.2,1.9
1991-06-07,NA,0.3,NA,NA,67,15.3,19.2,9.5,3.1
1991-06-08,NA,9.7,NA,NA,83,13.8,17.5,8,2
1991-06-09,NA,0.8,NA,NA,77,15.2,19.2,9,2.6
1991-06-10,NA,3.1,NA,NA,69,15.4,18.5,14.2,3.8
1991-06-11,NA,0,NA,NA,70,14.2,17.2,11.8,3.2
1991-06-12,NA,0.4,NA,NA,57,19,24.8,11,4.7
1991-06-13,NA,1.9,NA,NA,63,15.4,19.2,14.1,3.6
1991-06-14,NA,0,NA,NA,48,15,19.5,9,4.9
1991-06-15,NA,0.1,NA,NA,67,16.2,20,12,2.8
1991-06-16,NA,0,NA,NA,58,14.4,17.9,12,3.8
1991-06-17,NA,14.3,NA,NA,83,12,15,11,1.6
1991-06-18,NA,0.5,NA,NA,73,12.2,16,9,2.8
1991-06-19,NA,0.1,NA,NA,65,13.7,18.1,8,3.4
1991-06-20,NA,4.5,NA,NA,65,13.6,18.6,8.5,3.4
1991-06-21,NA,0,NA,5.7,61,16.7,21.7,8.2,3.9
1991-06-22,NA,12.9,NA,6.7,67,20.6,27.1,13.2,4.3
1991-06-23,NA,0.3,NA,5,64,20.2,24.4,15.6,4.5
1991-06-24,NA,1.8,NA,7,66,18.6,23.6,16.6,4.4
1991-06-25,NA,2.3,NA,7.3,80,19,22.8,14.2,2.6
1991-06-26,NA,0.8,NA,5.3,70,18.3,23.7,15,4
1991-06-27,NA,5.5,NA,5.3,76,13.2,20.6,9,3.6
1991-06-28,NA,3.2,NA,8,80,11.3,11.8,9,1.8
1991-06-29,NA,0,NA,5.3,65,12.6,16.1,10,3
1991-06-30,NA,0.4,NA,4.3,63,17.2,22.1,9.2,4.3
1991-07-01,NA,0.3,NA,5,73,19.4,24.9,15,3.6
1991-07-02,NA,0,NA,1,68,20.2,27.8,13,5.2
1991-07-03,NA,0,NA,3.7,61,20.4,25.2,10,4.8
1991-07-04,NA,0,NA,3.3,60,21,24,11.5,4.6
1991-07-05,NA,0,NA,1,65,21.8,28,15,5.4
1991-07-06,NA,0,NA,0,54,21.7,29,11,5.7
1991-07-07,NA,0,NA,0.7,59,23.6,30,13,5.7
1991-07-08,NA,0,NA,2.3,66,23.3,31.2,15.6,5.5
1991-07-09,NA,0,NA,3,60,22.6,28.5,18,5.3
1991-07-10,NA,0,NA,3,64,19.4,25.8,12.8,4.9
1991-07-11,NA,0,NA,2.7,56,24.7,32.5,14.5,5.6
1991-07-12,NA,0,NA,4.7,61,25,34.3,16,5.8
1991-07-13,NA,5.7,NA,7,56,21.4,27.2,17,4.8
1991-07-14,NA,2.5,NA,8,84,16.9,20.5,16,2.4
1991-07-15,NA,0,NA,3.3,68,18.8,24.1,13,4.5
1991-07-16,NA,0,NA,7,65,19.6,21.8,15,3.7
1991-07-17,NA,0,NA,3.7,63,17.8,22,13,4.2
1991-07-18,NA,0,NA,5.7,59,17.7,22.5,11.7,4.1
1991-07-19,NA,0,NA,6.3,60,18.6,21.5,15.4,4.2
1991-07-20,NA,0,NA,6.3,68,16.6,21,14.8,3.1
1991-07-21,NA,0,NA,7.7,71,17,20.8,13,3
1991-07-22,NA,0,NA,1.7,58,17.8,24,12.5,4.7
1991-07-23,NA,0,NA,1,60,19.4,28.5,8,4.8
1991-07-24,NA,6.4,NA,6.7,84,17,25.8,12,3.1
1991-07-25,NA,6.2,NA,7,79,14.8,22,13.8,3.1
1991-07-26,NA,10.5,NA,5,71,16.6,22.5,10.5,3.1
1991-07-27,NA,0,NA,5,69,17.8,23,15,3.6
1991-07-28,NA,0,NA,1.3,61,18.8,25.9,10.5,4.8
1991-07-29,NA,0,NA,2,55,20.6,27.2,11,5
1991-07-30,NA,0,NA,2,55,21.1,27.9,12,5.2
1991-07-31,NA,4.8,NA,6,72,20.5,26.5,13.5,3.6
1991-08-01,NA,15.6,NA,8,86,17.7,19,17.5,1.7
1991-08-02,NA,6.7,NA,8,79,19,20.8,17.5,2.2
1991-08-03,NA,0,NA,5,75,19.6,24.8,17,2.6
1991-08-04,NA,0,NA,3.3,66,19.8,26,13,3.9
1991-08-05,NA,0,NA,1.3,65,21.1,28.8,12.3,4.3
1991-08-06,NA,0,NA,0.7,60,23.3,31.6,15.5,5.2
1991-08-07,NA,1.4,NA,1.3,56,26,34,19,6
1991-08-08,NA,1.1,NA,7.3,82,20.1,24.8,17.2,2.8
1991-08-09,NA,0.8,NA,3.3,65,18.7,24,15.8,3.8
1991-08-10,NA,0.1,NA,6.7,71,20.7,24.1,15,2.8
1991-08-11,NA,8.2,NA,1.3,66,22.8,29.9,18.5,5.1
1991-08-12,NA,0.6,NA,3.3,68,17.5,23.7,15,3.7
1991-08-13,NA,0,NA,3.7,66,15.7,21.8,9.8,3
1991-08-14,NA,0,NA,4.3,64,16.4,24.2,9.5,3.1
1991-08-15,NA,0,NA,2.7,58,18.9,26.5,10.3,4
1991-08-16,NA,0,NA,2.7,60,20.2,28,10,4.4
1991-08-17,NA,2,NA,4.3,63,18.2,24.2,14.6,3.8
1991-08-18,NA,0.1,NA,1.7,65,15.2,20.4,12.5,3.6
1991-08-19,NA,0,NA,2.7,62,14.8,19,10.5,3.3
1991-08-20,NA,3.7,NA,8,80,15.3,16,11.2,1.7
1991-08-21,NA,0,NA,3.3,72,16.8,24.2,12.9,3.4
1991-08-22,NA,0,NA,0,61,19.2,29.2,10,4.5
1991-08-23,NA,2.5,NA,5.3,81,18.6,25.3,12.5,2.7
1991-08-24,NA,0,NA,4.3,65,18.3,25.5,15.2,3.5
1991-08-25,NA,0,NA,4.3,69,15,20.5,9.2,3
1991-08-26,NA,0,NA,4.7,72,16.9,20.8,11.2,2.3
1991-08-27,NA,0,NA,1,58,16.4,22,8.5,3
1991-08-28,NA,0,NA,5.7,72,16.2,21,12,2.4
1991-08-29,NA,0,NA,2.7,70,13.2,20,9,2.6
1991-08-30,NA,0,NA,3.3,73,13.2,20.8,7.2,2.5
1991-08-31,NA,0,NA,0.3,65,15.3,25.1,6.2,3.2
1991-09-01,NA,0,NA,0,66,17.6,25.2,7.5,3.5
1991-09-02,NA,0,NA,0,59,18.2,27.8,7,3.7
1991-09-03,NA,0,NA,0.7,58,18.5,27.2,9,3.5
1991-09-04,NA,0,NA,0,60,18.5,28.4,9.2,3.4
1991-09-05,NA,0,NA,5.7,69,18.6,22,12,3
1991-09-06,NA,0,NA,4,64,13.6,18.5,10,2.7
1991-09-07,NA,1.7,NA,7.3,76,14.4,16.8,10,2.2
1991-09-08,NA,0,NA,7.3,76,14.8,17.5,13,1.8
1991-09-09,NA,0,NA,3.3,69,14.6,22.3,11,2.6
1991-09-10,NA,0,NA,2.3,57,17.7,26.9,6,3.2
1991-09-11,NA,0,NA,8,75,14.3,20.5,11,1.6
1991-09-12,NA,0,NA,0.7,63,10,18.5,4,2.4
1991-09-13,NA,0,NA,0,60,11,20.5,2,2.4
1991-09-14,NA,0,NA,0,59,13.1,24.6,3,2.5
1991-09-15,NA,0,NA,4.7,63,18.5,25.9,5,2.8
1991-09-16,NA,7.4,NA,7.3,68,20.2,24.8,14.8,2.7
1991-09-17,NA,0.4,NA,4.3,70,17.1,20.8,14.8,2.7
1991-09-18,NA,0,NA,3,73,15.2,21.8,10.5,2.4
1991-09-19,NA,0,NA,6.7,77,16.7,21.7,12.5,1.8
1991-09-20,NA,0,NA,4.3,69,12.4,18.6,9,1.7
1991-09-21,NA,0,NA,0,76,12.9,21.8,3.5,2
1991-09-22,NA,6.6,NA,5.3,78,15.7,24.7,8.5,2.1
1991-09-23,NA,0,NA,5.7,68,13.8,17,8.5,2.2
1991-09-24,NA,0,NA,7.3,74,18.3,20.9,14.4,2.5
1991-09-25,NA,0,NA,2.7,75,19.3,26.1,14,2.8
1991-09-26,NA,2.6,NA,4.7,76,16.6,22,14,1.9
1991-09-27,NA,0.8,NA,6.3,82,12.7,15,10.5,1.4
1991-09-28,NA,0,NA,4.7,69,13.1,16.8,7.2,2
1991-09-29,NA,0,NA,7.7,78,13.7,17.5,9.5,1.1
1991-09-30,NA,1,NA,6.3,75,14.4,19,12.7,1.8
1991-10-01,NA,6.9,NA,8,77,11.4,16.8,6,1.7
1991-10-02,NA,0.1,NA,2.7,68,11.8,16.8,8,2.2
1991-10-03,NA,0,NA,3,74,11.8,18.6,6.5,1.7
1991-10-04,NA,0,NA,0.7,78,11.7,20.3,4.8,1.6
1991-10-05,NA,0,NA,3.7,74,13.1,19.2,5.8,1.4
1991-10-06,NA,0.6,NA,8,91,12.8,14.7,9,0.8
1991-10-07,NA,0,NA,4.7,82,11.7,17.8,8.9,1.3
1991-10-08,NA,0,NA,3.3,80,12.8,20.5,5.5,1.3
1991-10-09,NA,0,NA,0,75,11.8,20.4,5.2,1.4
1991-10-10,NA,0,NA,0,75,10.9,20.5,4.8,1.3
1991-10-11,NA,0,NA,0,76,10.3,20,2.1,1.6
1991-10-12,NA,3.4,NA,8,77,12.6,18.6,2.5,1.3
1991-10-13,NA,0,NA,5.3,86,13,15,11.8,0.9
1991-10-14,NA,0,NA,3.3,79,10.2,17.9,7.7,1.2
1991-10-15,NA,0,NA,4.7,80,11.3,18.2,3.5,0.9
1991-10-16,NA,0.1,NA,4.3,72,14,18.3,6.8,1.8
1991-10-17,NA,2.1,NA,6.3,70,10.2,15.6,6.6,2.1
1991-10-18,NA,0.5,NA,4.7,70,8.4,10.5,6,1.8
1991-10-19,NA,0.5,NA,NA,71,6.6,10.3,5,1.5
1991-10-20,NA,0,NA,NA,77,5.8,8.8,4.6,0.9
1991-10-21,NA,0.7,NA,NA,70,0.9,6.3,-2.5,0.6
1991-10-22,NA,0.5,NA,NA,78,5.9,8.9,-2,0.8
1991-10-23,NA,0,NA,NA,75,5.5,11,2,0.9
1991-10-24,NA,0.4,NA,NA,89,7.6,8.9,-2.5,0.5
1991-10-25,NA,0,NA,NA,88,3,8.8,-1.5,0.5
1991-10-26,NA,0,NA,NA,72,-0.8,7,-5.5,0.7
1991-10-27,NA,0,NA,0,71,-0.5,8.8,-7.5,0.8
1991-10-28,NA,0,NA,0,70,-2,6.6,-8.2,0.7
1991-10-29,NA,0,NA,0,77,-0.9,8,-6.6,0.6
1991-10-30,NA,0,NA,0,74,-1.5,7.5,-7,0.7
1991-10-31,NA,0,NA,0.7,74,-1.4,5.9,-7.5,0.6
1991-11-01,NA,0,NA,5,73,1,7,-7,0.7
1991-11-02,NA,0.1,NA,3.3,79,9.1,11.7,-0.5,1.2
1991-11-03,NA,3.3,NA,4.7,64,13.6,16.2,8.7,2.5
1991-11-04,NA,1.1,NA,8,70,8.4,13.5,7.9,1.5
1991-11-05,NA,0.9,NA,7.3,85,6.6,9.6,5,1
1991-11-06,NA,5.2,NA,2.7,78,4,6.5,1.5,0.8
1991-11-07,NA,0.6,NA,7.3,86,8.2,9.8,2.5,1
1991-11-08,NA,3.5,NA,6.3,79,10.8,11.6,9.8,1.2
1991-11-09,NA,1.6,NA,3.7,82,5.2,10.4,4.1,0.6
1991-11-10,NA,0.1,NA,2.3,86,2.9,5.6,1.6,0.4
1991-11-11,NA,4.2,NA,8,75,5.6,6.7,1,1
1991-11-12,NA,1.2,NA,7.7,83,7.6,8.7,5,0.6
1991-11-13,NA,0.8,NA,8,82,8.1,12,6,1.2
1991-11-14,NA,0,NA,5.3,72,6.1,7.5,4.2,1
1991-11-15,NA,0,NA,2.7,78,5.3,7.6,3,0.7
1991-11-16,NA,0,NA,4,88,2.5,5.5,0.5,0.2
1991-11-17,NA,0,NA,5.7,83,2.5,3.9,1.5,0.4
1991-11-18,NA,0.5,NA,7.3,92,1.6,4.2,-4.5,0.3
1991-11-19,NA,2.8,NA,8,94,4.7,5.5,3,0.3
1991-11-20,NA,0.1,NA,8,89,3.3,5,3,0.5
1991-11-21,NA,0,NA,4.3,81,-0.5,3.2,-2.4,0.4
1991-11-22,NA,0.1,NA,7.7,NA,-2.6,-2,-6.5,0.3
1991-11-23,NA,1.5,NA,8,91,2.5,2.9,-2.8,0.3
1991-11-24,NA,0,NA,4.7,88,1.2,4,-0.6,0.1
1991-11-25,NA,0,NA,7.3,96,0.6,1,-0.6,0.2
1991-11-26,NA,0,NA,2.7,90,1.1,4.7,-1,0.1
1991-11-27,NA,0.3,NA,4.3,87,1.2,3.2,-3.2,0.2
1991-11-28,NA,0.1,NA,3.3,89,2,3.8,-1,0.1
1991-11-29,NA,0.3,NA,8,95,1.9,3,0.5,0.2
1991-11-30,NA,0,NA,8,94,1.1,2.2,0,0.2
1991-12-01,NA,0,NA,8,95,-0.9,1.1,-1,0.2
1991-12-02,NA,0.2,NA,8,95,-0.9,-0.7,-1.1,0.2
1991-12-03,NA,0,NA,8,89,-1.6,-0.9,-1.8,0.3
1991-12-04,NA,0.2,NA,8,86,2,3.2,-2,0.4
1991-12-05,NA,0.1,NA,3.7,82,0.4,4,-1.4,0.5
1991-12-06,NA,0.2,NA,7,74,0.7,1.6,-1.5,0.6
1991-12-07,NA,0,NA,7.7,83,2,3,0.9,0.5
1991-12-08,NA,0.4,NA,8,88,2,3.5,1.3,0.4
1991-12-09,NA,0,NA,4.7,80,-4.8,1.3,-7.3,0.3
1991-12-10,NA,0,NA,1.3,82,-8.5,-5.6,-11.2,0.1
1991-12-11,NA,0,NA,3.7,90,-6.3,-1.8,-11,0
1991-12-12,NA,0,NA,3,93,-8.8,-5.2,-11,0
1991-12-13,NA,0,NA,1.7,NA,-2.9,0.9,-12,0.2
1991-12-14,NA,0,NA,1,59,-0.3,4.7,-2.6,0.8
1991-12-15,NA,0,NA,0.7,84,-6.4,-0.8,-9.5,0.1
1991-12-16,NA,0.3,NA,7,87,-1.8,0.1,-9,0.2
1991-12-17,NA,2.9,NA,8,93,1.7,3,-3.5,0.2
1991-12-18,NA,11.5,NA,7,85,3.8,6.2,1,0.6
1991-12-19,NA,11.5,NA,8,87,7,9.2,2,0.6
1991-12-20,NA,0.1,NA,5,78,2.2,9.2,1.4,0.9
1991-12-21,NA,6.6,NA,7,88,1.9,3.2,1.5,0.4
1991-12-22,NA,2.5,NA,6,93,7.8,11.8,1.5,0.3
1991-12-23,NA,8.6,NA,5.3,73,10,11.8,9.1,1.5
1991-12-24,NA,1.3,NA,2.7,78,3.1,9.1,2.3,0.7
1991-12-25,NA,0.1,NA,7.7,84,2,3.1,0.5,0.4
1991-12-26,NA,2.9,NA,7,79,4.8,6.2,1.5,1
1991-12-27,NA,0,NA,6.3,74,3.4,6.2,1.8,1
1991-12-28,NA,0,NA,3.3,78,0.4,2.7,-2.5,0.3
1991-12-29,NA,0,NA,8,81,3.6,4,0,0.5
1991-12-30,NA,0,NA,7.3,84,3.3,5.2,2.8,0.3
1991-12-31,NA,0,NA,5,81,1.1,3.9,-1,0.5
1992-01-01,NA,0,NA,6.3,85,1.4,2.6,-1,0.5
1992-01-02,NA,0,NA,4.3,77,4.1,5.5,2,0.7
1992-01-03,NA,0,NA,0,62,3.6,6.2,0.5,1.2
1992-01-04,NA,0.4,NA,8,73,6.5,7.9,3.6,1.3
1992-01-05,NA,7.6,NA,8,87,7.3,9.3,4,0.6
1992-01-06,NA,0.3,NA,8,84,9.2,10.1,8.6,0.8
1992-01-07,NA,0,NA,1,87,2.4,8.6,0.8,0.3
1992-01-08,NA,0.2,NA,0.7,72,6,7.5,-1.5,0.7
1992-01-09,NA,6.9,NA,7.3,84,7.4,11.5,5.2,0.9
1992-01-10,NA,0,NA,3.3,83,1.5,5.2,0,0.5
1992-01-11,NA,0,NA,4.7,94,-2,0,-2.6,0.3
1992-01-12,NA,0.4,NA,7.3,87,2.8,4,-3,0.5
1992-01-13,NA,0,NA,7.7,77,2.3,2.8,0,0.5
1992-01-14,NA,0.1,NA,8,90,4.8,5.8,2.5,0.4
1992-01-15,NA,0,NA,8,77,5.4,5.8,5,0.8
1992-01-16,NA,0,NA,8,75,4.4,5.2,4,0.9
1992-01-17,NA,0,NA,7,68,3.8,4.4,3.5,1
1992-01-18,NA,0,NA,6.7,75,4.4,5,3,1
1992-01-19,NA,4.4,NA,8,85,3.9,5.1,3.3,0.6
1992-01-20,NA,0.4,NA,7.3,81,-4,3.3,-6.1,0.6
1992-01-21,NA,0,NA,2.3,81,-6.7,-3.5,-9.9,0.3
1992-01-22,NA,0,NA,4.3,86,-7.4,-4,-10,0.2
1992-01-23,NA,0,NA,0,90,-6.8,-3.5,-9.5,0.1
1992-01-24,NA,0,NA,8,99,-5.2,-3.2,-8,0.1
